	name	ores_score
359	Aram Achekbashian	Stub
360	Hovsep Arghutian	Start
361	Mikael Atabekyan	Stub
362	Tigran Bekzadyan	Stub
363	Vigen Chitechyan	Stub
364	Hayk Chobanyan	Start
365	Daniel-Bek of Sassun	Start
366	Gurgen Egiazaryan	Start
367	Parunak Ferukhan	Stub
368	Hambardzum Galstyan	Start
369	Gegham Gharibjanian	C
370	Gevorg Ghazaryan (politician)	Stub
371	Andrias Ghukasyan	Start
372	Aram Grigoryan	Stub
373	Armen Grigoryan (politician)	C
374	Hayk Grigoryan	Start
375	Grigor Jaghetyan	Stub
376	Tigran Karapetyan	Stub
377	Khachatur-Bek of Mush	Stub
378	Aram Kocharyan	Stub
379	Davit Lokyan	Start
380	Hrant Maloyan	C
381	Khachatur Malumian	Start
382	Aram Manukyan	Start
383	Gevorg Melik-Karagyozyan	Stub
384	Vahan Minakhoryan	Stub
385	Ruben Mirzakhanyan	Start
386	Badal Muradyan	Start
387	Gabriel Noradunkyan	C
388	Suren Papikyan	Start
389	Paul Paul	Start
390	Garo Paylan	C
391	Genrikh Poghosyan	Start
392	Ishkhan Saghatelyan	GA
393	Martiros Sarukhanyan	Stub
394	Vartkes Serengülian	Start
395	Serop Zakaryan	Stub
396	Servitchen	Stub
397	Suren Shadunts	Start
398	Kasbar Sinabian	Stub
399	Ohannes Tchekidjian	Start
400	Hrayr Tovmasyan	Stub
401	Usuv Beg	Stub
402	Kegham Vanigian	Start
403	Artak Zeynalyan	Start
404	Alfons Adam	Start
405	Ingo Appelt	Stub
406	Baron Alexander von Bach	C
407	Maximilian Anton Karl, Count Baillet de Latour	Start
408	Heinrich Alfred Barb	Start
409	Raphael Basch	Start
410	Leopold Berchtold	C
411	Hanns Blaschke	Stub
412	Andreas Bolek	Start
413	Joseph Buttinger	Start
414	Prince Carl of Solms-Braunfels	C
415	Count Wenzel Chotek of Chotkow and Wognin	Start
416	Citizens' Ministry	C
417	Richard von Coudenhove-Kalergi	C
418	Karl von Czyhlarz	Stub
419	George Abraham von Dyhrn	Stub
420	Hans Ferlitsch	Stub
421	Friedhelm Frischenschlager	Start
422	Anton Füster	Start
423	Julius Anton Glaser	C
424	Walter Guggenberger	Start
425	Ulrich Habsburg-Lothringen	Stub
426	Ernst Hampel (politician)	Stub
427	Franz von Hartig	Stub
428	Hans Peter Haselsteiner	Start
429	Friedrich Wilhelm von Haugwitz	C
430	Eduard Hedvicek	Stub
431	Eduard Herbst	Start
432	Hermann Stern	C
433	Jürgen Himmelbauer	Stub
434	Anton Hofer	Start
435	Andreas Hörtnagl	Stub
436	Franz Jetzinger	Start
437	Konstantin Jireček	C
438	Hugo Jury	C
439	Maximilian Ulrich von Kaunitz	Start
440	Joseph Kenner	Start
441	Theodor Kery	Stub
442	Michael Killisch-Horn	Stub
443	Hubert Klausner	Start
444	Martin Kocher	Stub
445	Józef Kożdoń	C
446	Jožef Krajnc	Start
447	Hans Kudlich	Start
448	Gottfried von Kühnelt-Leddihn	Start
449	Hartmann Lauterbacher	C
450	Otto Lecher	Stub
451	Franz Leitner (politician)	Stub
452	Elmar Lichtenegger	Start
453	Julius Lippert (historian)	Stub
454	Karl Lütgendorf	Stub
455	Jürgen Mandl	Stub
456	Renate Mann	Stub
457	Ferdinand Mannlicher	C
458	Christoph Matznetter	Start
459	Johann Gregor Memhardt	Stub
460	Franz Moroder	Start
461	Heinz Nittel	Stub
462	Brigitta Pallauf	Start
463	Wladimir von Pawlowski	Stub
464	Johann Anton von Pergen	C
465	Gerhard Pfanzelter	Start
466	Walter Pfrimer	B
467	Ernst von Plener	Start
468	Leopold Poetsch	Stub
469	Thomas Prinzhorn	C
470	Hermann von Ramberg	Stub
471	Heinrich Reschauer	Start
472	Horst Rosenkranz	Start
473	Emil Sax	Start
474	Karl Schmitzer	Stub
475	Georg Ritter von Schönerer	C
476	Georg Adam, Prince of Starhemberg	C
477	Gundaker Thomas Starhemberg	Start
478	Josef Staribacher	Stub
479	Richard Steidle	C
480	Julius Tandler	Start
481	Leopold, Count von Thun und Hohenstein	C
482	Muzio Tommasini	Start
483	Karl Freiherr von Vogelsang	Start
484	Max Winter (politician)	Stub
485	Anton von Winzor	Stub
486	Gisela Wurm	Stub
487	Alexander Zach	Stub
488	Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau	Start
489	Karl von Zinzendorf	Start
490	Muzamil Abdullayev	Stub
491	Leyla Abdullayeva	Start
492	Elchin Afandiyev	Start
493	Fazail Agamali	C
494	Fuad Alasgarov	C
495	Anvar Alikhanov	Stub
496	Tarlan Aliyarbayov	GA
497	Dilara Aliyeva	Start
498	Ali Asadov	Start
499	Akram Aylisli	C
500	Sahil Babayev	Start
501	Huseyngulu Baghirov	Start
502	Alovsat Bakhshiyev	Start
503	Rafael Kamil Dzhabrailov	Stub
504	Matin Eynullayev	Start
505	Vilayat Eyvazov	Start
506	Abdurrahman Fatalibeyli	C
507	Fazail Ibrahimli	Stub
508	Solomon Grobshtein	Stub
509	Teymur Guliyev	Stub
510	Mammad Gurbanov	Start
511	Asaf Hajiyev	C
512	Farhad Hajiyev	Start
513	Jamil Hasanli	C
514	Ali M. Hasanov	C
515	Shakir Hasanov	Stub
516	Zakir Hasanov	C
517	Ali Huseynli	Start
518	Alisahib Huseynov	Start
519	Ali Ibrahimov	Stub
520	Mammad Isgandarov	Stub
521	Vidadi Isgandarov	Start
522	Ajdar Ismailov	C
523	Saftar Jafarov	Start
524	Rovshan Javadov	C
525	Anar Karimov	Start
526	Boris Kevorkov	Start
527	Gurban Khalilov	Start
528	Ahmad Kordary	Stub
529	Ilham Madatov	Start
530	Musa Mammadov	Start
531	Ramin Mammadov	Start
532	Elshad Mirbashir oghlu	C
533	Fuad Naghiyev	Start
534	Eldar Namazov	Start
535	Siyavush Novruzov	Start
536	Sadig Rahimov	C
537	Suleyman Rahimov	C
538	Huseyn Rahmanov	Stub
539	Hasan Sayidov	Stub
540	Parviz Shahbazov	Start
541	Mammad agha Shahtakhtinski	C
542	Abid Sharifov	Start
543	Bakhtiyar Vahabzadeh	C
544	Elmir Valiyev	Start
545	Nurali Yusifbayli	Start
546	Harold Christie	Start
547	Timothy Donaldson	C
548	Joseph Robert Love	C
549	Mohammed Isa Al Abbasi	Stub
550	Abdullah bin Isa Al Khalifa	Stub
551	Ahmed Behzad (Bahrain)	Stub
552	Kamal Ahmed (politician)	Stub
553	Mohamed Ali Hasan Ali	Stub
554	Khalid Almoayed	Stub
555	Aymen Tawfeeq Almoayed	Start
556	Nazar Al Baharna	Start
557	Mahmood Al Bahrani	Stub
558	Ammar Al Bannai	Start
559	Jawad Fairooz	Start
560	Qasim Fakhro	Start
561	Faisal al-Hamar	Stub
562	Nabeel bin Yaqub Al-Hamar	Stub
563	Isa bin Abdulrahman Al Hammadi	Stub
564	Jameel Humadan	Start
565	Isa bin Ibrahim Al Khalifa	Stub
566	Fahmi al-Jowder	Stub
567	Saud Kanoo	Stub
568	Essam Khalaf	Stub
569	Abdullah bin Hamad bin Isa Al Khalifa	Start
570	Ibrahim ibn Khalifa Al Khalifa	Start
571	Mai bint Mohammed Al Khalifa	Start
572	Khallfa bin Duaij Al Khalifa	Stub
573	Hamad Al Kooheji	Stub
574	Abdullatif Al-Mahmood	Stub
575	Khalid Al Maskati	Stub
576	Abdulhussain bin Ali Mirza	Stub
577	Mohammed Al-Buainain	Start
578	Mohammed bin Khalifa bin Ahmed	C
579	Mohammed bin Khalifa bin Ali Al Khalifa	Start
580	Abdulrahman al-Nuaimi	Start
581	Ammar Qambar	Start
582	Isa Qassim	C
583	Ahmed Al-Salloum	Start
584	Salman bin Hamad Al Khalifa	C
585	Oli Ahad	Start
586	Farid Ahmed	Stub
587	Muzaffar Ahmed (NAP politician)	Start
588	AKM Hafizuddin	Start
589	Mohammad Manjur Alam	Start
590	Aftab Ali	C
591	M Hossain Ali	Start
592	Ashab Uddin Ahmad	B
593	Selina Banu	Start
594	Nurul Huq Bhuiyan	Stub
595	Bishnu Chattopadhyay	Start
596	AKM Fazlul Kabir Chowdhury	Start
597	Aminul Islam Chowdhury	Stub
598	Anwarul Karim Chowdhury	C
599	Moinuddin Ahmed Chowdhury	C
600	Sarwar Jan Chowdhury	Stub
601	Shahinur Pasha Chowdhury	Start
602	Yusuf Ali Chowdhury	Start
603	Haji Mohammad Danesh	C
604	Pulin De	Start
605	James Leo Ferguson	C
606	Abdul Halim Ghaznavi	Start
607	Debendra Nath Ghosh	Stub
608	Ranesh Das Gupta	Start
609	AKM Fazlul Haque (Bangladeshi politician)	Stub
610	Abul Hashim	C
611	Syed Najmuddin Hashim	Start
612	M. Anwar Hossain	C
613	Nozir Hossain	Start
614	Syed Muhammad Ibrahim	Start
615	Abul Kashem	C
616	Abul Kashem Khan	C
617	Hatem Ali Khan	Start
618	Muhammad Hamidullah Khan	C
619	Yar Mohammad Khan	C
620	Jyotirindra Bodhipriya Larma	Stub
621	Manik Lal Ray	Stub
622	Mushrefa Mishu	Start
623	Fazlul Haque Montu	Stub
624	Mujahidul Islam Selim	Stub
625	SM Nuruzzaman	Stub
626	Shamsul Huda Panchbagi	B
627	Muhammad Bayazeed Khan Panni	C
628	Ferdous Ahmed Qureshi	Start
629	Abdur Rahim (scholar)	C
630	Habibar Rahman	Stub
631	M. M. Rahmatullah	C
632	Golam Maula Rony	Start
633	Devasish Roy	Start
634	Maulana Shakhawat	Stub
635	Zahidunnabi Dewan Shamim	Start
636	Abul Kalam Shamsuddin	Start
637	Badruddoza Ahmed Shuja	Stub
638	Mohammad Sultan	Start
639	Mohammad Toaha	Start
640	Badruddin Umar	C
641	Elliott Belgrave	Start
642	Chad Blackman	Start
643	Santia Bradshaw	Start
644	Sonia Browne	Stub
645	Michael A. Carrington	Start
646	William Fondleroy Duguid	Start
647	Reginald Farley	Stub
648	Adrian Forde	Stub
649	Cynthia Y. Forde	Start
650	Ian Gooding-Edghill	Stub
651	Damien K. A. Griffith	Stub
652	Crystal Haynes	Stub
653	Hallam Henry (diplomat)	Stub
654	Philip St. Hill	Stub
655	Arthur Holder	Stub
656	Kirk Matthew Humphrey	Stub
657	Davidson Ishmael	Stub
658	Colin Everett Jordan	Stub
659	John Andrew King	Start
660	Shantal Munro-Knight	Stub
661	Glyne Murray	Stub
662	Harry Scott Newlands	Stub
663	Charles Duncan O'Neal	Start
664	Samuel Jackman Prescod	C
665	Shanika Roberts-Odle	Stub
666	Ryan Straughan	Stub
667	Dwight Sutherland	Stub
668	Kerrie Symmonds	Start
669	Yury Ambrazevich	Stub
670	Lyavon Barshchewski	Stub
671	Siarhei Cherachen	Start
672	Zmitser Dashkevich	Start
673	Siamion Domash	Stub
674	Tsimafei Dranchuk	Start
675	Alaksandar Dubko	Stub
676	Alana Gebremariam	Start
677	Gennady Grushevoy	C
